Record_ID,Task,Concept,Fuel_type,Brand,Maximum_driving_range,Car_type,Price,Response
1,1,1,2,3,1,1,4,0
1,1,2,3,4,2,4,2,1
1,1,3,4,1,4,3,3,0
1,1,4,1,2,3,2,1,0
1,2,1,3,1,3,3,4,0
1,2,2,2,4,3,1,1,1
1,2,3,1,2,2,4,5,0
1,2,4,4,1,1,2,2,0
1,3,1,1,2,1,3,2,0
1,3,2,4,3,2,3,1,0
1,3,3,2,2,4,2,3,0
1,3,4,2,4,3,4,5,1
1,4,1,4,2,1,4,1,0
1,4,2,2,1,4,1,2,0
1,4,3,1,4,2,3,4,1
1,4,4,3,3,1,2,5,0
1,5,1,2,4,2,2,3,0
1,5,2,3,3,3,4,3,0
1,5,3,4,1,1,1,5,0
1,5,4,1,4,4,3,1,0
1,6,1,2,1,1,4,4,0
1,6,2,4,3,4,2,4,0
1,6,3,4,2,3,1,2,0
1,6,4,1,3,4,1,5,0
1,7,1,1,3,3,2,2,0
1,7,2,3,2,1,3,3,0
1,7,3,2,1,2,4,1,0
1,7,4,4,4,4,4,4,0
1,8,1,4,4,3,3,5,0
1,8,2,1,1,2,2,5,0
1,8,3,3,3,4,4,2,0
1,8,4,3,2,2,1,4,0
1,9,1,3,1,4,1,1,0
1,9,2,1,4,1,1,3,1
1,9,3,3,2,3,2,4,0
1,9,4,2,3,2,3,2,0
1,10,1,4,3,2,1,3,0
1,10,2,2,2,4,3,5,0
1,10,3,3,4,1,2,1,0
1,10,4,1,1,3,4,3,0
2,1,1,2,1,3,1,3,0
2,1,2,3,3,4,2,3,0
2,1,3,1,4,2,3,1,1
2,1,4,4,2,1,4,5,0
2,2,1,3,3,3,4,2,0
2,2,2,2,3,2,2,3,0
2,2,3,4,1,4,1,1,1
2,2,4,1,2,3,3,4,0
2,3,1,2,3,1,3,1,0
2,3,2,1,1,4,4,2,0
2,3,3,2,4,3,2,5,0
2,3,4,3,2,2,1,2,1
2,4,1,4,4,4,2,2,0
2,4,2,2,2,3,1,1,1
2,4,3,1,3,1,4,4,0
2,4,4,3,3,4,3,5,0
2,5,1,3,4,3,4,1,0
2,5,2,3,1,2,3,5,0
2,5,3,2,2,1,1,2,1
2,5,4,4,4,1,3,3,0
2,6,1,1,1,1,3,2,0
2,6,2,3,4,2,1,4,0
2,6,3,2,2,4,4,5,0
2,6,4,4,1,3,2,4,0
2,7,1,3,2,1,2,4,0
2,7,2,4,3,2,4,1,1
2,7,3,1,1,3,2,5,0
2,7,4,1,4,4,1,3,0
2,8,1,1,2,4,2,1,0
2,8,2,4,4,1,1,5,0
2,8,3,4,3,3,3,2,0
2,8,4,2,1,2,4,4,0
2,9,1,1,3,2,1,5,0
2,9,2,2,4,4,3,4,0
2,9,3,4,2,2,3,3,1
2,9,4,3,1,1,4,3,0
2,10,1,4,3,4,1,4,0
2,10,2,1,2,3,4,3,1
2,10,3,3,1,1,2,1,0
2,10,4,2,4,2,2,2,0
,1,1,1,4,1,4,1,0
,1,2,3,3,3,3,3,0
,1,3,2,2,2,1,5,0
,1,4,4,1,4,2,2,0
,2,1,4,3,4,1,4,0
,2,2,1,2,2,3,4,1
,2,3,3,4,1,4,5,0
,2,4,2,1,3,2,5,0
,3,1,3,1,3,1,4,0
,3,2,2,3,2,2,1,0
,3,3,2,4,4,3,2,1
3,3,4,4,1,1,4,3,0
3,4,1,3,2,4,2,5,0
3,4,2,2,4,1,2,4,0
3,4,3,4,2,3,3,2,1
3,4,4,1,3,4,1,3,0
3,5,1,1,4,3,2,2,0
3,5,2,4,3,2,4,5,0
3,5,3,3,1,2,1,4,0
3,5,4,3,2,1,3,1,0
3,6,1,4,3,1,3,4,0
3,6,2,2,2,4,4,3,0
3,6,3,1,1,3,2,1,1
3,6,4,4,4,2,1,1,0
3,7,1,4,2,3,4,1,0
3,7,2,1,1,1,1,5,0
3,7,3,2,3,1,1,2,0
3,7,4,3,4,2,2,3,0
3,8,1,2,1,2,3,3,0
3,8,2,3,2,1,1,2,1
3,8,3,1,4,4,4,4,0
3,8,4,1,3,3,3,5,0
3,9,1,1,3,2,4,2,0
3,9,2,4,4,4,3,5,0
3,9,3,3,3,4,2,1,0
3,9,4,2,2,3,4,4,0
3,10,1,1,2,1,2,3,0
3,10,2,2,1,4,3,1,1
3,10,3,4,4,3,1,3,0
3,10,4,3,1,2,4,2,0
4,1,1,4,1,1,4,5,0
4,1,2,1,4,3,1,4,1
4,1,3,3,3,4,3,2,0
4,1,4,2,2,2,2,3,0
4,2,1,4,1,3,3,1,0
4,2,2,3,4,1,1,4,1
4,2,3,1,2,1,2,1,0
4,2,4,2,3,2,4,4,0
4,3,1,1,4,2,3,2,0
4,3,2,3,3,3,2,3,0
4,3,3,3,2,4,4,4,1
4,3,4,2,1,4,1,5,0
4,4,1,2,4,1,2,2,0
4,4,2,3,1,2,4,1,0
4,4,3,4,3,3,1,2,0
4,4,4,1,2,4,3,3,1
4,5,1,2,3,4,2,4,0
4,5,2,2,2,1,4,2,1
4,5,3,4,3,2,2,5,0
4,5,4,1,4,1,3,5,0
4,6,1,1,1,2,1,3,0
4,6,2,4,2,4,2,5,0
4,6,3,2,1,3,3,4,0
4,6,4,3,3,1,4,1,0
4,7,1,4,4,4,2,1,0
4,7,2,1,3,3,4,5,1
4,7,3,3,1,1,1,3,0
4,7,4,4,2,2,1,2,0
4,8,1,3,2,3,3,5,0
4,8,2,2,4,2,3,1,0
4,8,3,1,1,1,2,4,0
4,8,4,4,4,4,4,3,0
4,9,1,4,3,1,3,3,0
4,9,2,1,1,4,4,2,1
4,9,3,3,4,2,1,5,0
4,9,4,2,2,3,1,1,0
4,10,1,1,3,4,1,1,0
4,10,2,4,2,2,3,4,1
4,10,3,2,4,3,4,3,0
4,10,4,3,1,3,2,2,0
5,1,1,1,3,1,2,3,0
5,1,2,3,2,3,1,3,1
5,1,3,4,1,4,4,2,0
5,1,4,2,4,2,3,5,0
5,2,1,3,1,4,2,5,0
5,2,2,3,3,3,3,4,0
5,2,3,1,4,1,1,2,0
5,2,4,2,2,2,4,1,0
5,3,1,2,1,3,3,1,0
5,3,2,4,2,1,4,4,0
5,3,3,3,4,4,1,3,1
5,3,4,4,1,3,1,2,0
5,4,1,4,4,2,4,3,0
5,4,2,1,2,4,3,1,1
5,4,3,2,3,3,4,5,0
5,4,4,3,1,1,2,4,0
5,5,1,2,4,1,3,2,0
5,5,2,3,2,2,1,5,0
5,5,3,4,3,2,2,1,1
5,5,4,1,1,4,4,5,0
5,6,1,3,4,3,4,1,0
5,6,2,1,1,2,2,4,0
5,6,3,1,2,3,2,2,1
5,6,4,4,3,4,3,3,0
5,7,1,3,3,2,4,2,0
5,7,2,4,4,4,3,4,0
5,7,3,2,2,3,2,3,0
5,7,4,1,3,1,1,5,0
5,8,1,2,2,4,1,4,0
5,8,2,4,1,1,1,1,0
5,8,3,1,1,2,3,3,1
5,8,4,3,4,1,2,1,0
5,9,1,4,2,1,3,5,0
5,9,2,2,3,4,2,2,0
5,9,3,2,3,2,1,4,1
5,9,4,1,4,3,4,4,0
5,10,1,1,3,4,1,1,0
5,10,2,2,1,1,4,3,0
5,10,3,4,4,3,2,5,0
5,10,4,3,2,2,3,2,1
6,1,1,3,2,4,4,3,0
6,1,2,1,4,1,3,1,0
6,1,3,2,1,2,1,2,0
6,1,4,4,3,4,2,5,0
6,2,1,2,1,3,3,3,0
6,2,2,3,3,3,2,4,1
6,2,3,1,2,2,1,5,0
6,2,4,3,1,1,4,1,0
6,3,1,1,3,1,1,3,0
6,3,2,1,2,2,2,1,0
6,3,3,2,4,3,4,5,1
6,3,4,4,1,4,3,2,0
6,4,1,4,3,3,3,5,0
6,4,2,3,3,2,4,2,0
6,4,3,2,2,1,2,5,0
6,4,4,1,4,3,1,4,1
6,5,1,1,1,4,2,4,0
6,5,2,2,3,1,4,4,0
6,5,3,4,2,3,4,1,0
6,5,4,3,4,2,3,3,1
6,6,1,1,2,3,4,2,0
6,6,2,3,1,4,1,5,0
6,6,3,4,4,2,2,3,1
6,6,4,2,3,1,2,2,0
6,7,1,2,3,2,3,1,0
6,7,2,1,4,4,3,2,1
6,7,3,4,1,1,2,1,0
6,7,4,4,2,3,1,4,0
6,8,1,3,4,3,2,2,0
6,8,2,4,2,1,1,3,0
6,8,3,2,2,4,3,4,0
6,8,4,1,1,2,4,5,0
6,9,1,4,4,1,1,2,0
6,9,2,2,4,4,1,1,1
6,9,3,3,1,2,3,4,0
6,9,4,1,3,4,4,3,0
6,10,1,4,4,2,4,4,0
6,10,2,2,1,3,2,3,0
6,10,3,3,3,4,1,1,0
6,10,4,3,2,1,3,5,0
7,1,1,1,2,2,3,5,0
7,1,2,3,2,4,1,3,0
7,1,3,4,4,3,4,2,0
7,1,4,2,1,1,2,1,0
7,2,1,4,4,3,2,3,0
7,2,2,1,1,1,4,1,0
7,2,3,2,2,1,2,5,0
7,2,4,3,3,2,1,4,0
7,3,1,3,4,1,4,5,0
7,3,2,1,3,3,3,4,0
7,3,3,1,1,4,2,3,0
7,3,4,2,2,2,1,2,1
7,4,1,3,1,1,3,2,0
7,4,2,2,4,4,3,2,1
7,4,3,4,3,3,4,1,0
7,4,4,3,2,2,4,3,0
7,5,1,2,1,3,1,5,0
7,5,2,4,2,1,4,4,1
7,5,3,1,3,4,2,5,0
7,5,4,1,4,3,3,3,0
7,6,1,4,3,2,2,2,0
7,6,2,2,4,4,1,1,0
7,6,3,3,4,1,3,4,1
7,6,4,1,1,3,4,2,0
7,7,1,4,2,4,3,1,0
7,7,2,1,4,2,2,4,0
7,7,3,2,1,2,4,3,0
7,7,4,3,3,3,1,5,0
7,8,1,1,4,2,1,1,0
7,8,2,3,3,4,2,2,1
7,8,3,4,1,4,1,4,0
7,8,4,2,3,1,3,3,0
7,9,1,2,3,4,4,4,0
7,9,2,4,1,2,3,5,0
7,9,3,1,2,1,1,2,0
7,9,4,3,2,3,2,1,1
7,10,1,2,2,3,2,4,0
7,10,2,4,3,1,1,3,1
7,10,3,3,1,2,3,1,0
7,10,4,4,4,4,4,5,0
8,1,1,1,2,2,1,3,0
8,1,2,2,4,1,2,1,0
8,1,3,3,3,4,3,5,0
8,1,4,4,1,3,4,4,0
8,2,1,1,3,1,4,4,0
8,2,2,2,1,3,1,5,0
8,2,3,4,4,4,2,2,0
8,2,4,3,2,1,3,2,1
8,3,1,3,1,3,2,1,0
8,3,2,4,2,1,1,5,0
8,3,3,1,2,4,3,1,0
8,3,4,4,3,2,4,3,0
8,4,1,2,4,4,1,4,0
8,4,2,3,3,2,4,2,0
8,4,3,1,2,3,4,5,0
8,4,4,4,1,1,3,3,0
8,5,1,2,1,2,3,2,0
8,5,2,1,1,4,2,3,0
8,5,3,3,4,1,4,5,0
8,5,4,3,2,2,1,1,0
8,6,1,4,3,3,3,1,0
8,6,2,3,1,4,4,1,0
8,6,3,2,2,2,2,4,0
8,6,4,1,4,1,1,2,0
8,7,1,4,2,1,2,4,0
8,7,2,4,4,2,3,5,0
8,7,3,2,4,3,3,3,0
8,7,4,1,3,3,1,2,0
8,8,1,1,4,2,4,1,0
8,8,2,3,2,3,2,3,0
8,8,3,4,1,4,1,4,0
8,8,4,2,3,4,2,5,0
8,9,1,3,4,4,1,3,0
8,9,2,1,3,2,3,4,0
8,9,3,4,3,3,2,2,0
8,9,4,2,1,1,4,3,0
8,10,1,2,2,4,4,2,0
8,10,2,3,4,3,3,4,0
8,10,3,2,3,1,1,1,0
8,10,4,1,1,2,2,5,0
9,1,1,4,2,3,4,3,0
9,1,2,3,3,4,2,2,0
9,1,3,2,4,1,1,2,0
9,1,4,1,1,2,3,1,0
9,2,1,1,4,3,1,1,0
9,2,2,3,1,2,2,4,0
9,2,3,2,2,3,4,3,1
9,2,4,4,3,1,3,5,0
9,3,1,4,3,4,4,2,0
9,3,2,2,2,1,3,4,0
9,3,3,1,3,2,3,3,0
9,3,4,2,1,3,1,5,0
9,4,1,3,4,3,3,5,0
9,4,2,4,4,2,1,3,0
9,4,3,1,2,1,2,1,1
9,4,4,2,1,4,4,1,0
9,5,1,2,3,1,1,1,0
9,5,2,4,4,3,2,4,0
9,5,3,1,2,4,2,5,1
9,5,4,3,1,1,4,2,0
9,6,1,1,4,1,4,4,0
9,6,2,3,3,3,4,1,0
9,6,3,3,1,4,3,3,0
9,6,4,4,2,2,1,2,1
9,7,1,3,2,4,1,5,0
9,7,2,1,1,3,3,2,0
9,7,3,2,3,2,4,4,0
9,7,4,2,4,4,2,3,0
9,8,1,2,3,2,2,5,0
9,8,2,3,2,1,1,3,0
9,8,3,4,4,4,3,1,0
9,8,4,1,3,3,2,2,1
9,9,1,4,1,1,2,3,0
9,9,2,1,4,2,4,5,0
9,9,3,3,3,3,1,4,0
9,9,4,4,2,4,3,4,1
9,10,1,2,4,2,3,2,0
9,10,2,1,1,4,1,4,1
9,10,3,4,1,1,4,5,0
9,10,4,3,2,2,2,1,0
10,1,1,1,1,1,1,5,0
10,1,2,3,2,2,3,4,0
10,1,3,2,3,3,4,2,0
10,1,4,4,4,1,2,3,0
10,2,1,4,1,2,4,1,0
10,2,2,2,4,4,3,3,0
10,2,3,3,3,2,4,3,0
10,2,4,1,2,3,1,2,0
10,3,1,2,2,3,3,1,0
10,3,2,4,1,2,1,2,0
10,3,3,1,2,4,2,5,0
10,3,4,2,1,1,4,4,0
10,4,1,3,4,2,2,5,0
10,4,2,4,3,4,1,5,0
10,4,3,1,1,3,3,3,1
10,4,4,2,2,1,1,3,0
10,5,1,3,2,1,4,2,0
10,5,2,3,1,3,2,3,0
10,5,3,1,4,2,1,4,0
10,5,4,1,3,4,3,1,0
10,6,1,2,1,4,2,2,0
10,6,2,3,3,1,3,5,0
10,6,3,4,2,4,4,4,0
10,6,4,1,4,2,4,1,0
10,7,1,4,4,1,3,4,0
10,7,2,1,2,4,4,3,0
10,7,3,3,4,3,1,1,0
10,7,4,2,3,2,2,4,0
10,8,1,1,3,3,2,4,0
10,8,2,2,3,1,1,1,0
10,8,3,3,4,4,3,2,0
10,8,4,4,1,3,4,5,0
10,9,1,4,3,3,1,3,0
10,9,2,1,4,1,2,2,0
10,9,3,2,2,2,3,5,0
10,9,4,3,1,4,2,1,0
10,10,1,3,1,4,1,4,0
10,10,2,2,4,3,4,5,0
10,10,3,4,2,1,2,1,0
10,10,4,4,3,2,3,2,0
11,1,1,4,2,4,2,2,0
11,1,2,1,4,2,3,4,0
11,1,3,1,1,1,1,3,0
11,1,4,2,3,3,4,3,0
11,2,1,1,1,1,2,4,0
11,2,2,3,2,4,3,3,0
11,2,3,4,4,3,2,5,0
11,2,4,4,3,2,1,1,1
11,3,1,3,3,3,4,2,0
11,3,2,1,4,4,1,5,0
11,3,3,4,1,1,3,1,0
11,3,4,2,2,1,4,4,1
11,4,1,2,1,4,4,1,0
11,4,2,2,3,1,2,3,1
11,4,3,3,2,2,3,1,0
11,4,4,4,2,3,1,4,0
11,5,1,4,2,4,3,3,0
11,5,2,1,4,3,4,1,0
11,5,3,2,3,2,2,5,0
11,5,4,3,1,2,1,2,1
11,6,1,3,1,3,2,4,0
11,6,2,4,1,2,4,3,0
11,6,3,2,4,4,1,2,0
11,6,4,1,3,1,3,2,1
11,7,1,4,3,1,3,5,0
11,7,2,2,2,3,1,1,0
11,7,3,1,2,2,2,2,1
11,7,4,3,4,2,2,3,0
11,8,1,2,4,2,3,4,0
11,8,2,3,2,1,1,5,0
11,8,3,3,1,3,4,5,0
11,8,4,1,3,4,2,1,0
11,9,1,1,4,3,1,3,0
11,9,2,3,3,4,4,4,0
11,9,3,4,4,1,4,2,1
11,9,4,2,1,4,3,5,0
11,10,1,1,2,2,4,5,0
11,10,2,2,1,3,3,2,0
11,10,3,4,3,4,1,4,0
11,10,4,3,4,1,2,1,1
12,1,1,4,3,2,4,1,0
12,1,2,2,2,3,3,5,0
12,1,3,3,4,4,2,2,1
12,1,4,1,1,1,1,3,0
12,2,1,2,2,3,1,4,0
12,2,2,1,1,3,1,2,0
12,2,3,1,2,2,2,1,1
12,2,4,3,3,1,3,4,0
12,3,1,4,4,2,3,3,0
12,3,2,2,1,1,2,1,1
12,3,3,3,3,3,1,1,0
12,3,4,1,4,4,4,5,0
12,4,1,4,4,1,1,2,0
12,4,2,1,3,4,3,3,0
12,4,3,2,1,2,4,3,0
12,4,4,4,2,4,2,4,0
12,5,1,3,2,1,4,5,0
12,5,2,1,1,2,2,4,1
12,5,3,4,4,3,3,1,0
12,5,4,2,3,2,4,2,0
12,6,1,1,2,4,3,1,0
12,6,2,3,2,1,4,3,1
12,6,3,4,1,3,2,5,0
12,6,4,2,4,2,1,4,0
12,7,1,2,1,4,3,2,0
12,7,2,4,3,2,1,5,0
12,7,3,3,4,3,4,4,0
12,7,4,4,2,1,2,2,0
12,8,1,2,3,4,2,5,0
12,8,2,3,4,3,2,3,1
12,8,3,1,3,1,3,4,0
12,8,4,3,1,4,1,1,0
12,9,1,1,3,3,4,2,0
12,9,2,2,4,1,4,1,0
12,9,3,4,2,4,1,3,0
12,9,4,3,1,2,3,5,0
12,10,1,1,4,1,1,5,0
12,10,2,4,1,4,4,4,0
12,10,3,3,2,2,3,2,1
12,10,4,2,3,3,2,3,0
13,1,1,2,2,2,4,3,0
13,1,2,3,3,4,3,5,0
13,1,3,4,1,3,1,1,1
13,1,4,1,4,1,2,4,0
13,2,1,3,1,1,4,4,0
13,2,2,2,4,3,1,3,0
13,2,3,4,2,4,2,5,0
13,2,4,1,3,2,1,2,1
13,3,1,1,1,4,3,3,0
13,3,2,4,2,4,3,4,0
13,3,3,2,4,1,4,1,0
13,3,4,1,3,2,2,5,1
13,4,1,2,2,3,2,4,0
13,4,2,3,2,1,1,3,0
13,4,3,3,4,4,4,2,0
13,4,4,4,4,2,3,4,0
13,5,1,4,3,3,4,5,0
13,5,2,3,4,2,2,1,0
13,5,3,2,1,4,2,2,0
13,5,4,1,2,1,1,5,0
13,6,1,2,3,4,1,1,0
13,6,2,1,3,3,4,4,0
13,6,3,1,1,1,2,3,0
13,6,4,3,2,3,3,2,0
13,7,1,2,4,2,1,5,0
13,7,2,4,3,1,3,1,0
13,7,3,3,2,2,4,1,0
13,7,4,4,1,3,2,3,0
13,8,1,1,4,3,3,2,0
13,8,2,4,1,2,4,2,0
13,8,3,3,3,4,1,4,0
13,8,4,2,1,1,3,5,0
13,9,1,4,2,1,1,2,0
13,9,2,3,4,3,2,5,0
13,9,3,2,3,2,3,3,0
13,9,4,1,1,4,4,1,0
13,10,1,3,1,2,1,4,0
13,10,2,2,3,1,2,2,0
13,10,3,1,2,3,3,1,0
13,10,4,4,4,4,4,3,0
14,1,1,1,2,2,1,4,0
14,1,2,4,3,3,2,5,0
14,1,3,2,4,4,3,3,1
14,1,4,3,1,1,4,2,0
14,2,1,3,4,2,2,2,0
14,2,2,4,1,1,1,3,0
14,2,3,2,2,3,1,1,0
14,2,4,4,1,4,3,5,0
14,3,1,3,2,3,4,3,0
14,3,2,3,3,1,1,1,0
14,3,3,2,4,4,4,5,1
14,3,4,1,1,3,2,4,0
14,4,1,4,3,1,3,2,0
14,4,2,2,4,1,4,4,1
14,4,3,1,3,3,1,2,0
14,4,4,4,2,2,2,1,0
14,5,1,2,1,2,1,5,0
14,5,2,4,2,2,3,4,0
14,5,3,3,4,1,2,3,1
14,5,4,1,3,4,4,1,0
14,6,1,3,3,4,2,4,0
14,6,2,2,2,4,4,2,0
14,6,3,1,4,2,3,1,1
14,6,4,4,4,3,1,5,0
14,7,1,1,2,1,2,5,0
14,7,2,3,1,4,3,1,0
14,7,3,4,1,3,4,4,0
14,7,4,2,3,2,1,3,0
14,8,1,4,4,1,4,1,0
14,8,2,1,3,4,2,3,0
14,8,3,2,1,2,2,2,0
14,8,4,3,2,3,3,3,0
14,9,1,2,3,3,3,4,0
14,9,2,1,1,2,4,3,0
14,9,3,1,2,1,3,5,0
14,9,4,3,4,4,1,4,1
14,10,1,4,2,4,1,2,0
14,10,2,1,4,3,3,2,1
14,10,3,3,3,2,4,5,0
14,10,4,2,1,1,2,1,0
15,1,1,1,2,1,4,3,0
15,1,2,2,4,3,2,4,1
15,1,3,4,3,4,3,1,0
15,1,4,3,1,2,1,2,0
15,2,1,4,2,4,1,3,0
15,2,2,2,1,2,4,1,0
15,2,3,1,3,3,3,4,0
15,2,4,4,4,1,2,5,1
15,3,1,3,4,3,4,5,0
15,3,2,3,3,1,2,2,0
15,3,3,1,3,2,1,5,0
15,3,4,4,2,2,4,4,0
15,4,1,2,4,4,1,1,0
15,4,2,4,1,2,3,3,0
15,4,3,1,2,4,2,2,0
15,4,4,2,3,3,4,3,0
15,5,1,1,1,4,3,4,0
15,5,2,4,3,4,4,2,0
15,5,3,3,1,3,1,3,1
15,5,4,2,2,1,3,5,0
15,6,1,4,4,3,3,2,0
15,6,2,1,1,1,1,1,0
15,6,3,2,2,2,3,5,0
